iter	Passed	Remaining
0	1	150
1	2	143
2	4	147
3	5	137
4	7	135
5	8	134
6	10	132
7	11	132
8	12	130
9	14	130
10	16	130
11	17	128
12	18	126
13	20	123
14	21	120
15	22	117
16	23	115
17	24	113
18	26	111
19	27	108
20	28	106
21	29	103
22	30	101
23	31	98
24	32	96
25	33	94
26	34	92
27	35	90
28	36	88
29	37	86
30	37	84
31	38	82
32	39	80
33	40	79
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	70
40	48	69
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	101	8
92	102	7
93	102	6
94	103	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
